"Dataset","PeakNo","Wavenumber","Percent.T"
"C2",8,1691.3,84.7
"C2",9,875.6,84.7
"C2",10,1159.1,86.6
"C2",11,1276.7,88.5
"C2",12,898.7,88.6
"C2",13,2925.6,89.3
"C2",14,1315.3,89.5
"C2",15,825.4,91.4
"C2",16,2869.7,92.1
"C2",17,1633.5,95.2
"C2",18,3978.6,102.6
"C2",19,3837.8,102.4
"C2",20,3803.1,102.4
"C2",21,2345.1,103.2
"C3",1,1054.9,39.1
"C3",2,1029.8,40.6
"C3",3,1107,61.3
"C3",4,696.2,75
"C3",5,3338.3,73.8
"C3",6,1157.1,77.7
"C3",7,1315.3,82.7
"C3",8,898.7,86.6
"C3",9,1365.4,87.2
"C3",10,1278.6,88.9
"C3",11,1427.1,89.5
"C3",12,1201.5,90.1
"C3",13,2898.6,91.6
"C3",14,1647,97.4
"C3",15,3978.6,103
"C3",16,2341.3,102.9
"C3",17,3756.8,102.8
"C4",1,1056.8,62.2
"C4",2,1031.8,63.7
"C4",3,1107,74.6
"C4",4,1161,75.3
"C4",5,696.2,83.5
"C4",6,1731.8,82.9
"C4",7,1257.4,88.1
"C4",8,1315.3,88
"C4",9,3340.2,89.3
"C4",10,1369.3,89.3
"C4",11,1456.1,89.9
"C4",12,2958.4,90.3
"C4",13,802.3,90.7
"C4",14,2923.7,91
"C4",15,2871.6,92.3
"C4",16,3978.6,98.9
"C5",1,1056.8,78.7
"C5",2,1031.8,80.5
"C5",3,696.2,91.2
"C5",4,1107,87.6
"C5",5,1159.1,91.7
"C5",6,3338.3,93.9
"C5",7,1315.3,94.7
"C5",8,3978.6,99.3
"C5",9,1427.1,95.9
"C5",10,1203.4,96.3
"C5",11,2908.2,97.7
"C6",1,1054.9,61
"C6",2,1031.8,63.3
"C6",3,1108.9,73.9
"C6",4,1161,74.8
"C6",5,1731.8,79.6
"C6",6,3340.2,85.3
"C6",7,1243.9,90.4
"C6",8,2958.4,89.9
"C6",9,1313.3,89.9
"C6",10,1369.3,91.3
"C6",11,1456.1,91.6
"C6",12,696.2,95.9
"C6",13,2873.5,92.4
"C6",14,1656.6,93.8
"C6",15,703.9,95
"C6",16,3978.6,99.1
"C6",17,3639.2,98.2
"C6",18,811.9,97.6
"C6",19,1540.9,96.9
"C6",20,3805,98.7
"C6",21,2343.2,101.4
"C7",1,1054.9,48.1
"C7",2,1031.8,48
"C7",3,1105.1,67.4
"C7",4,696.2,79.3
"C7",5,1159.1,79.9
"C7",6,3340.2,82.3
"C7",7,1315.3,87
"C7",8,1367.3,90.1
"C7",9,898.7,90.4
"C7",10,1431,92.5
"C7",11,1201.5,92.8
"C7",12,808.1,93
"C7",13,2902.5,94.3
"C7",14,3978.6,100.8
"C7",15,1639.3,98.3
"C7",16,1729.9,99
"C7",17,3868.7,100.4
"C7",18,2349,100.9
"C8",1,1056.8,59.5
"C8",2,1031.8,61.7
"C8",3,1108.9,73.1
"C8",4,1161,74.9
"C8",5,696.2,82.1
"C8",6,1731.8,83.2
"C8",7,1255.5,89
"C8",8,1315.3,88.7
"C8",9,1369.3,90.1
"C8",10,3340.2,90.6
"C8",11,1456.1,91.2
"C8",12,2956.5,91.1
"C8",13,800.3,91.9
"C8",14,2925.6,91.9
"C8",15,2871.6,93.3
"C8",16,3978.6,99.6
"C9",1,1053,54
"C9",2,1029.8,53.9
"C9",3,1105.1,70.3
"C9",4,696.2,74.6
"C9",5,1161,76.8
"C9",6,1731.8,82
"C9",7,1315.3,86.6
"C9",8,902.6,88.1
"C9",9,1367.3,89
"C9",10,784.9,91.9
"C9",11,829.3,91.8
"C9",12,1454.1,91.1
"C9",13,856.3,90.8
"C9",14,2960.3,92.1
"C9",15,3353.7,92.5
"C9",16,2927.5,93.1
"C9",17,3411.6,93.9
"C9",18,2869.7,94.6
"C9",19,3978.6,100.2
"C9",20,3207.2,96
"C9",21,1637.3,97
"C9",22,3924.6,99.4
"C9",23,3897.6,100.1
"CA1",1,1037.6,83
"CA1",2,1224.6,84.6
"CA1",3,696.2,91.9
"CA1",4,1741.5,90.4
"CA1",5,900.6,92.9
"CA1",6,1369.3,93.2
"CA1",7,1161,94
"CA1",8,3978.6,99.5
"CA1",9,1429.1,96.6
"CA2",1,1037.6,89.1
"CA2",2,1222.7,91.9
"CA2",3,696.2,96.8
"CA2",4,1735.7,95.7
"CA2",5,900.6,95.8
"CA2",6,3978.6,100.4
"CA2",7,1161,96.5
"CA2",8,1369.3,96.8
"CA2",9,1431,98.6
"EAA1",1,2917.9,76.5
"EAA1",2,1701,83.2
"EAA1",3,2850.4,81.3
"EAA1",4,1463.8,88.6
"EAA1",5,721.3,88.2
"EAA1",6,696.2,94.6
"EAA1",7,1234.3,91.5
"EAA1",8,1037.6,91.7
"EAA1",9,1413.6,92.8
"EAA1",10,937.3,93.3
"EAA1",11,1550.6,94
"EAA1",12,3978.6,99.4
"EVA1",1,1022.1,80.1
"EVA1",2,2917.9,78.3
"EVA1",3,2850.4,82.8
"EVA1",4,1240.1,85.7
"EVA1",5,696.2,90.9
"EVA1",6,719.3,87.8
"EVA1",7,1737.6,89.2
"EVA1",8,1463.8,91.5
"EVA1",9,775.3,94.1
"EVA1",10,1371.2,93.8
"EVA1",11,3978.6,98.9
"EVA2",1,696.2,99.7
"EVA2",2,3978.6,99.9
"EVA2",3,1024.1,96.5
"EVA2",4,1240.1,97
"EVA2",5,2919.8,97.3
"EVA2",6,1733.8,97.5
"EVA2",7,2850.4,98.1
"EVA2",8,1461.8,98.8
"EVA2",9,1371.2,98.9
"EVA2",10,721.3,99
"EVA3",1,1018.3,71.1
"EVA3",2,2917.9,76.3
"EVA3",3,2850.4,80.6
"EVA3",4,1240.1,83.6
"EVA3",5,696.2,88.1
"EVA3",6,719.3,83.2
"EVA3",7,1593,87.1
"EVA3",8,1465.7,88
"EVA3",9,1737.6,88.4
"EVA3",10,1373.1,90.5
"EVA3",11,885.2,91.9
"EVA3",12,3978.6,99.8
"EVA4",1,1238.1,77.8
"EVA4",2,2917.9,79.3
"EVA4",3,1733.8,84.4
"EVA4",4,2850.4,83.7
"EVA4",5,1020.2,88.1
"EVA4",6,1373.1,89.7
"EVA4",7,1463.8,89.5
"EVA4",8,1110.8,90.5
"EVA4",9,721.3,90
"EVA4",10,696.2,95.4
"EVA4",11,1569.8,92.1
"EVA4",12,3978.6,99.5
"EVA4",13,790.7,95.1
"EVA5",1,1234.3,87.6
"EVA5",2,1735.7,90
"EVA5",3,1450.3,91.2
"EVA5",4,1070.3,92
"EVA5",5,1033.7,92.1
"EVA5",6,696.2,98
"EVA5",7,1371.2,94.5
"EVA5",8,2242.9,93.8
"EVA5",9,1162.9,94.8
"EVA5",10,3978.6,99.3
"EVA5",11,2929.5,96.8
"EVA5",12,763.7,97
"PA1",1,1637.3,65.3
"PA1",2,696.2,71.2
"PA1",3,1280.6,74.9
"PA1",4,2923.7,79.7
"PA1",5,1550.6,80.5
"PA1",6,1459.9,84.7
"PA1",7,1068.4,85
"PA1",8,842.8,85.1
"PA1",9,2854.3,85.1
"PA1",10,1033.7,85.4
"PA1",11,1249.7,87.8
"PA1",12,1371.2,89.8
"PA1",13,3295.9,91.3
"PA1",14,1176.4,91.6
"PA1",15,3978.6,99.8
"PA1",16,3085.7,96.3
"PA2",1,1637.3,70.3
"PA2",2,1539,75.9
"PA2",3,696.2,86.5
"PA2",4,3295.9,87.5
"PA2",5,1261.3,88.6
"PA2",6,1461.8,88.6
"PA2",7,2933.3,89.8
"PA2",8,1371.2,90.9
"PA2",9,1201.5,90.2
"PA2",10,1168.7,91.4
"PA2",11,2862,92.4
"PA2",12,3978.6,98.1
"PA2",13,1116.6,94.3
"PA2",14,1072.3,94.7
"PA2",15,962.3,95.3
"PA2",16,3079.9,96
"PA3",1,1635.4,53.9
"PA3",2,1540.9,64
"PA3",3,696.2,80
"PA3",4,3297.8,77.4
"PA3",5,2931.4,82.9
"PA3",6,1461.8,81.2
"PA3",7,1263.2,83
"PA3",8,1438.7,84.1
"PA3",9,1369.3,85.6
"PA3",10,1168.7,85.2
"PA3",11,1205.3,87.6
"PA3",12,2858.1,87.6
"PA3",13,1116.6,91
"PA3",14,1074.2,91.6
"PA3",15,973.9,92
"PA3",16,3978.6,98.3
"PA3",17,3081.8,95
"PA3",18,3753,100.5
"PA4",1,1637.3,51.7
"PA4",2,1539,61.5
"PA4",3,696.2,80.7
"PA4",4,3297.8,79.8
"PA4",5,1261.3,82.9
"PA4",6,1463.8,82.3
"PA4",7,721.3,85.1
"PA4",8,2937.2,85.3
"PA4",9,1417.5,84.1
"PA4",10,1201.5,85
"PA4",11,1371.2,86.8
"PA4",12,1170.6,87.5
"PA4",13,2863.9,90.3
"PA4",14,1031.8,91.5
"PA4",15,1114.7,92.2
"PA4",16,1072.3,92.3
"PA4",17,958.5,94
"PA4",18,833.1,96.3
"PA4",19,3068.3,97.6
"PA4",20,3978.6,102.1
"PA4",21,1729.9,98.2
"PA5",1,1637.3,47.6
"PA5",2,1539,58.5
"PA5",3,694.3,76
"PA5",4,3295.9,79.2
"PA5",5,2935.2,81.9
"PA5",6,1263.2,81.5
"PA5",7,1461.8,82.6
"PA5",8,1417.5,84.5
"PA5",9,1201.5,84.2
"PA5",10,1371.2,86.2
"PA5",11,2862,89.2
"PA5",12,1170.6,88.9
"PA5",13,1118.6,92.3
"PA5",14,1074.2,93.6
"PA5",15,956.6,94
"PA5",16,927.6,94.1
"PA5",17,833.1,94.3
"PA5",18,3978.6,100.1
"PA6",1,1637.3,63.3
"PA6",2,1537.1,70.6
"PA6",3,696.2,80
"PA6",4,1029.8,77.6
"PA6",5,1263.2,84.9
"PA6",6,1199.6,85.8
"PA6",7,3299.7,87.2
"PA6",8,1461.8,87.1
"PA6",9,1415.6,87.7
"PA6",10,1168.7,88.7
"PA6",11,1371.2,88.9
"PA6",12,2935.2,89.6
"PA6",13,2863.9,93.2
"PA6",14,831.2,93.1
"PA6",15,3978.6,98.7
"PA6",16,1729.9,95.8
"PC1",1,1189.9,83.8
"PC1",2,1159.1,84.7
"PC1",3,1224.6,86.3
"PC1",4,1010.6,90.3
"PC1",5,696.2,95.5
"PC1",6,827.3,91.7
"PC1",7,1078.1,91.6
"PC1",8,1772.3,92.9
"PC1",9,1105.1,93.5
"PC1",10,761.8,93.7
"PC1",11,1502.3,93.6
"PC1",12,885.2,95.1
"PC1",13,3978.6,99.9
"PC1",14,1409.8,98
"PC1",15,2968,98.4
"PC1",16,3835.9,99.8
"PE1",1,2916,56.4
"PE1",2,2848.5,62.8
"PE1",3,721.3,82.1
"PE1",4,1467.6,86
"PE1",5,696.2,91.9
"PE1",6,1045.3,91.6
"PE1",7,1647,93.1
"PE1",8,1375.1,92.8
"PE1",9,3978.6,98
"PE1",10,754.1,94.1
"PE10",1,2916,67.6
"PE10",2,2848.5,73.8
"PE10",3,1031.8,83.1
"PE10",4,719.3,81.8
"PE10",5,696.2,90.1
"PE10",6,1467.6,87.8
"PE10",7,1647,92.7
"PE10",8,3978.6,99.4
"PE11",1,2916,67
"PE11",2,2848.5,70.3
"PE11",3,723.2,88
"PE11",4,1465.7,90.5
"PE11",5,1027.9,88.2
"PE11",6,696.2,92.4
"PE11",7,1637.3,94.6
"PE11",8,1710.6,95.2
"PE11",9,3978.6,99.9
"PE12",1,2917.9,60.1
"PE12",2,2848.5,67.5
"PE12",3,719.3,81.6
"PE12",4,1465.7,84.3
"PE12",5,696.2,92.1
"PE12",6,1049.1,92.4
"PE12",7,3978.6,100.4
"PE13",1,2916,65.2
"PE13",2,2848.5,70.5
"PE13",3,719.3,80.2
"PE13",4,1467.6,88.1
"PE13",5,696.2,92
"PE13",6,1045.3,90.9
"PE13",7,3978.6,99.1
"PE13",8,1650.8,95.3
"PE14",1,2916,70.6
"PE14",2,2848.5,75.1
"PE14",3,1465.7,88
"PE14",4,721.3,87.7
"PE14",5,3978.6,96.1
"PE14",6,696.2,96.3
"PE14",7,1373.1,96.1
"PE15",1,2916,68.7
"PE15",2,2848.5,72.3
"PE15",3,721.3,83.3
"PE15",4,1465.7,87.8
"PE15",5,1041.4,85.7
"PE15",6,696.2,91
"PE15",7,1637.3,90.9
"PE15",8,1438.7,91.6
"PE15",9,1238.1,92.9
"PE15",10,3978.6,97.1
"PE16",1,2916,69.3
"PE16",2,2848.5,72.7
"PE16",3,721.3,87.3
"PE16",4,1465.7,89.8
"PE16",5,696.2,94.7
"PE16",6,3978.6,95.9
"PE16",7,1637.3,93.2
"PE17",1,2916,55.8
"PE17",2,2848.5,61.9
"PE17",3,721.3,84.3
"PE17",4,1467.6,87.8
"PE17",5,696.2,96.6
"PE17",6,3978.6,98.3
"PE17",7,1438.7,96.7
"PE17",8,1045.3,96.7
"PE17",9,1496.6,98.4
"PE18",1,2917.9,74
"PE18",2,2848.5,77.4
"PE18",3,721.3,86.3
"PE18",4,1463.8,86.9
"PE18",5,696.2,93.4
"PE18",6,1037.6,90.5
"PE18",7,1598.8,92.5
"PE18",8,3978.6,97.2
"PE18",9,1375.1,94.1
"PE19",1,2916,51.1
"PE19",2,2848.5,58.5
"PE19",3,1467.6,85.3
"PE19",4,719.3,80.8
"PE19",5,696.2,96.8
"PE19",6,3978.6,98.2
"PE19",7,1652.8,97.3
"PE19",8,1369.3,97.4
"PE19",9,1496.6,98.1
"PE2",1,2917.9,58.6
"PE2",2,2848.5,65.5
"PE2",3,719.3,80.4
"PE2",4,696.2,89.1
"PE2",5,1465.7,87.5
"PE2",6,3978.6,101.2
"PE2",7,1078.1,97.4
"PE2",8,1641.2,97.7
"PE2",9,1371.2,97.9
"PE2",10,1544.8,98.3
"PE20",1,2916,53.3
"PE20",2,2848.5,59
"PE20",3,721.3,83.2
"PE20",4,1465.7,88.3
"PE20",5,696.2,94.7
"PE20",6,754.1,96.2
"PE20",7,3978.6,100.7
"PE20",8,1051.1,96.7
"PE20",9,1438.7,96.8
"PE20",10,1496.6,98.8
"PE21",1,2916,56.4
"PE21",2,2848.5,61.3
"PE21",3,723.2,88.2
"PE21",4,1465.7,88.7
"PE21",5,696.2,95
"PE21",6,1039.5,92.1
"PE21",7,3978.6,98.5
"PE21",8,754.1,96
"PE21",9,1438.7,96.2
"PE21",10,1652.8,96.7
"PE22",1,2917.9,56
"PE22",2,2848.5,62.5
"PE22",3,721.3,85.2
"PE22",4,1465.7,88.5
"PE22",5,696.2,96.6
"PE22",6,3978.6,100.8
"PE22",7,754.1,97.3
"PE22",8,1093.5,97.2
"PE22",9,1369.3,98
"PE23",1,2916,55.5
"PE23",2,2848.5,60.8
"PE23",3,1465.7,85.1
"PE23",4,721.3,84.1
"PE23",5,1436.8,89.3
"PE23",6,696.2,95.4
"PE23",7,873.6,90.8
"PE23",8,1496.6,96.4
"PE23",9,3978.6,100.5
"PE23",10,754.1,96.5
"PE23",11,1641.2,98.1
"PE24",1,2916,56.9
"PE24",2,2850.4,64.6
"PE24",3,719.3,83.4
"PE24",4,1467.6,86.6
"PE24",5,696.2,96.5
"PE24",6,3978.6,100.6
"PE24",7,1373.1,98.6
"PE24",8,1496.6,99.3
"PE25",1,2916,68.3
"PE25",2,2848.5,73.3
"PE25",3,1465.7,88
"PE25",4,721.3,89.2
"PE25",5,696.2,96.1
"PE25",6,3978.6,96.8
"PE25",7,1018.3,92.7
"PE25",8,1645.1,95.4
"PE25",9,1375.1,95.4
"PE25",10,879.4,96.8
"PE26",1,2916,68
"PE26",2,2848.5,73
"PE26",3,719.3,82.7
"PE26",4,1465.7,86.9
"PE26",5,1037.6,89.4
"PE26",6,696.2,94.6
"PE26",7,1635.4,93.7
"PE26",8,1249.7,94.2
"PE26",9,823.5,95.6
"PE26",10,3978.6,100.1
"PE27",1,2916,56.5
"PE27",2,2848.5,62.5
"PE27",3,721.3,86.7
"PE27",4,1465.7,88.3
"PE27",5,696.2,96
"PE27",6,3978.6,100.2
"PE27",7,1373.1,98.5
"PE27",8,1652.8,99.2
"PE28",1,2917.9,68
"PE28",2,2848.5,73.9
"PE28",3,1463.8,83
"PE28",4,719.3,83.8
"PE28",5,696.2,94.9
"PE28",6,1373.1,92.6
"PE28",7,1554.4,95.1
"PE28",8,1639.3,95.2
"PE28",9,1047.2,95.4
"PE28",10,3978.6,99.8
"PE28",11,871.7,96.7
"PE29",1,2916,58
"PE29",2,2848.5,63.7
"PE29",3,721.3,85.7
"PE29",4,1465.7,88.5
"PE29",5,696.2,95.9
"PE29",6,1078.1,93.2
"PE29",7,1652.8,95.4
"PE29",8,3978.6,99.9
"PE29",9,1230.4,96.1
"PE29",10,754.1,97.1
"PE29",11,1544.8,97
"PE3",1,2917.9,64.3
"PE3",2,2848.5,70.6
"PE3",3,721.3,85.7
"PE3",4,1465.7,88
"PE3",5,696.2,95.8
"PE3",6,3978.6,101.9
"PE3",7,1373.1,98
"PE30",1,1045.3,77.9
"PE30",2,696.2,87.9
"PE30",3,719.3,82.9
"PE30",4,800.3,88.4
"PE30",5,2916,88.2
"PE30",6,1639.3,89.7
"PE30",7,1465.7,90.6
"PE30",8,2848.5,90.5
"PE30",9,1544.8,92
"PE30",10,3978.6,98.5
"PE31",1,2916,70.3
"PE31",2,2848.5,75.6
"PE31",3,1465.7,88.3
"PE31",4,719.3,86.9
"PE31",5,696.2,94.8
"PE31",6,3978.6,99.5
"PE31",7,1373.1,96.1
"PE31",8,1652.8,96.3
"PE32",1,2916,70.5
"PE32",2,2848.5,75.9
"PE32",3,1037.6,87.3
"PE32",4,1465.7,88.4
"PE32",5,719.3,86.3
"PE32",6,696.2,95.1
"PE32",7,3978.6,99.5
"PE32",8,1648.9,97
"PE32",9,1496.6,97.3
"PE33",1,1037.6,84.6
"PE33",2,719.3,84.6
"PE33",3,696.2,89.3
"PE33",4,2916,86.1
"PE33",5,1465.7,88.6
"PE33",6,877.5,90
"PE33",7,2848.5,88.5
"PE33",8,1631.6,91.5
"PE33",9,1542.8,92
"PE33",10,3978.6,98.8
"PE34",1,1035.6,84.1
"PE34",2,719.3,84.1
"PE34",3,696.2,91.3
"PE34",4,2916,87
"PE34",5,2846.5,89.8
"PE34",6,1465.7,92
"PE34",7,1641.2,92.3
"PE34",8,1242,94.8
"PE34",9,3978.6,99.2
"PE35",1,2916,55.5
"PE35",2,2848.5,61.9
"PE35",3,719.3,79
"PE35",4,1467.6,85.1
"PE35",5,696.2,92.6
"PE35",6,1037.6,90.6
"PE35",7,3978.6,98.2
"PE35",8,1240.1,94.9
"PE35",9,1652.8,95.4
"PE36",1,2916,64.6
"PE36",2,2848.5,69.5
"PE36",3,721.3,85.2
"PE36",4,1465.7,88.4
"PE36",5,1039.5,88.3
"PE36",6,696.2,94.2
"PE36",7,1648.9,94.2
"PE36",8,3978.6,99.3
"PE36",9,754.1,95.7
"PE37",1,2916,54.7
"PE37",2,2848.5,60.2
"PE37",3,1465.7,88.3
"PE37",4,721.3,85.6
"PE37",5,696.2,97.2
"PE37",6,3978.6,100.1
"PE37",7,1438.7,96.9
"PE37",8,1045.3,97.1
"PE37",9,1018.3,97.1
"PE37",10,1367.3,97.9
"PE37",11,754.1,98.3
"PE37",12,1596.8,98.2
"PE37",13,1741.5,98.6
"PE37",14,1496.6,99
"PE38",1,2916,70.1
"PE38",2,2848.5,73.7
"PE38",3,721.3,85.9
"PE38",4,1465.7,89.1
"PE38",5,696.2,94.2
"PE38",6,1712.6,92.4
"PE38",7,3978.6,97.6
"PE38",8,1164.8,93.7
"PE38",9,1631.6,94
"PE38",10,1373.1,94.5
"PE38",11,1569.8,94.6
"PE38",12,1317.2,94.9
"PE38",13,2331.6,98
"PE39",1,2916,89.5
"PE39",2,2848.5,91.1
"PE39",3,721.3,94.6
"PE39",4,696.2,99.2
"PE39",5,3978.6,100
"PE39",6,1467.6,97
"PE4",1,2917.9,69
"PE4",2,2848.5,75
"PE4",3,719.3,82.2
"PE4",4,696.2,89.1
"PE4",5,1465.7,87.8
"PE4",6,1641.2,95.1
"PE4",7,875.6,95.6
"PE4",8,3978.6,101.2
"PE40",1,2916,73
"PE40",2,2848.5,77
"PE40",3,719.3,81.7
"PE40",4,696.2,91.2
"PE40",5,1041.4,87.7
"PE40",6,1465.7,89
"PE40",7,1650.8,91.2
"PE40",8,3978.6,98.4
"PE40",9,1548.6,94.4
"PE41",1,2914,49.9
"PE41",2,2848.5,54.8
"PE41",3,1467.6,83.7
"PE41",4,717.4,79.6
"PE41",5,3978.6,97.5
"PE41",6,696.2,97.4
"PE41",7,1496.6,98.9
"PE42",1,2916,47.9
"PE42",2,2848.5,53.5
"PE42",3,721.3,85.7
"PE42",4,1467.6,90.2
"PE42",5,696.2,96.3
"PE42",6,3978.6,98.9
"PE42",7,1033.7,94.8
"PE42",8,1438.7,97.7
"PE42",9,1375.1,97.7
"PE42",10,754.1,98.2
"PE42",11,1496.6,98.9
"PE42",12,3693.2,98.8
"PE43",1,2914,51.4
"PE43",2,2846.5,58
"PE43",3,1465.7,88
"PE43",4,721.3,86
"PE43",5,696.2,97.6
"PE43",6,3978.6,98.4
"PE43",7,1438.7,97.2
"PE43",8,1496.6,98.8
"PE44",1,2916,57.1
"PE44",2,2848.5,63.3
"PE44",3,1465.7,88.3
"PE44",4,721.3,87.3
"PE44",5,696.2,98.5
"PE44",6,1240.1,94.5
"PE44",7,3978.6,100
"PE44",8,1739.6,95.9
"PE44",9,1022.1,96.9
"PE44",10,1371.2,97.5
"PE44",11,1496.6,99.2
"PE45",1,2916,57.5
"PE45",2,2848.5,63.3
"PE45",3,1465.7,87.2
"PE45",4,721.3,86.3
"PE45",5,696.2,98.1
"PE45",6,1240.1,95.5
"PE45",7,3978.6,100.1
"PE45",8,1739.6,95.9
"PE45",9,1018.3,96.8
"PE45",10,1371.2,97.5
"PE45",11,1180.3,97
"PE45",12,754.1,98.7
"PE45",13,1496.6,99.4
"PE46",1,2916,58.7
"PE46",2,2848.5,65.1
"PE46",3,1467.6,83.4
"PE46",4,721.3,86.8
"PE46",5,1575.6,90.2
"PE46",6,1540.9,89.3
"PE46",7,696.2,97
"PE46",8,3978.6,97.9
"PE46",9,1375.1,96.5
"PE46",10,2362.5,96.8
"PE46",11,1714.5,97.2
"PE47",1,2916,65
"PE47",2,2848.5,70.8
"PE47",3,721.3,86.1
"PE47",4,1467.6,89.5
"PE47",5,696.2,95.8
"PE47",6,1010.6,93.3
"PE47",7,3978.6,99.5
"PE47",8,1373.1,98.1
"PE47",9,1643.1,98.4
"PE48",1,2916,57.2
"PE48",2,2848.5,62.5
"PE48",3,723.2,89.8
"PE48",4,1465.7,89.3
"PE48",5,696.2,96
"PE48",6,1039.5,94
"PE48",7,2825.3,94.6
"PE48",8,1654.7,95.3
"PE48",9,3978.6,99.9
"PE48",10,1375.1,95.8
"PE48",11,1546.7,97.1
"PE49",1,2916,49.3
"PE49",2,2848.5,55
"PE49",3,721.3,82.7
"PE49",4,1465.7,89.9
"PE49",5,696.2,92.7
"PE49",6,2825.3,93.9
"PE49",7,754.1,95.8
"PE49",8,3978.6,99.8
"PE49",9,1438.7,97.9
"PE49",10,1377,97.5
"PE49",11,1496.6,99.2
"PE5",1,2917.9,65.2
"PE5",2,2848.5,71
"PE5",3,721.3,86.3
"PE5",4,1465.7,87.9
"PE5",5,696.2,95.7
"PE5",6,1035.6,94.1
"PE5",7,3978.6,99.9
"PE5",8,1633.5,96.9
"PE5",9,1373.1,97.1
"PE6",1,2916,55.3
"PE6",2,2848.5,60.9
"PE6",3,721.3,83.2
"PE6",4,1467.6,86.7
"PE6",5,696.2,93.8
"PE6",6,1037.6,93.5
"PE6",7,754.1,95.1
"PE6",8,3978.6,100
"PE6",9,1645.1,96
"PE6",10,1496.6,97.1
"PE7",1,2916,65.6
"PE7",2,2848.5,71.7
"PE7",3,719.3,82.4
"PE7",4,1465.7,87.1
"PE7",5,696.2,92.5
"PE7",6,1074.2,93.1
"PE7",7,1238.1,94.5
"PE7",8,1373.1,96.1
"PE7",9,3978.6,101.1
"PE7",10,1739.6,97.3
"PE8",1,2916,59.8
"PE8",2,2848.5,65.1
"PE8",3,721.3,83.6
"PE8",4,1467.6,87.7
"PE8",5,696.2,94.4
"PE8",6,1041.4,94.4
"PE8",7,1438.7,95.4
"PE8",8,754.1,95.6
"PE8",9,1602.6,95.6
"PE8",10,3978.6,100.9
"PE9",1,2916,66.4
"PE9",2,2848.5,72.4
"PE9",3,721.3,84.7
"PE9",4,1465.7,87.9
"PE9",5,696.2,93.4
"PE9",6,1037.6,89.9
"PE9",7,1647,95.4
"PE9",8,1373.1,95.8
"PE9",9,3978.6,100.8
"PET1",1,723.2,54.7
"PET1",2,1245.8,59.3
"PET1",3,1097.3,62.6
"PET1",4,1716.4,67.4
"PET1",5,1018.3,73.1
